Player,Team ID,Position,Cost (£),Selected (%),Form,Points
Wharton,7,3,4.7,0.2,0.0,15
Turner,7,1,4.0,10.6,0.0,0
I.Sarr,7,3,5.7,0.5,7.2,54
Umeh-Chibueze,7,3,4.4,0.0,0.0,0
Devenny,7,3,4.5,0.2,2.4,14
Agbinone,7,3,4.5,0.0,0.0,2
Rodney,7,3,4.5,0.0,0.0,0
Lacroix,7,2,4.5,0.3,4.0,40
Kporha,7,2,4.0,0.0,0.0,1
Marsh,7,4,4.5,0.4,0.0,0
Broja,8,4,5.4,0.1,0.2,1
A.Doucoure,8,3,5.1,0.2,2.8,30
Beto,8,4,5.0,0.6,0.8,16
Branthwaite,8,2,4.8,1.0,4.8,29
Calvert-Lewin,8,4,5.5,1.6,2.5,45
Coleman,8,2,4.3,0.0,0.0,1
Gana,8,3,4.9,0.1,2.5,29
Garner,8,3,4.9,0.0,0.0,7
Harrison,8,3,5.2,0.1,1.2,27
Holgate,8,2,4.0,0.2,0.0,1
Iroegbunam,8,3,4.4,0.4,0.0,8
J.Virginia,8,1,3.9,0.7,0.0,0
Keane,8,2,4.1,6.3,0.0,32
Maupay,8,4,4.9,0.3,0.0,0
McNeil,8,3,5.4,3.5,3.5,65
Mykolenko,8,2,4.3,4.5,5.8,45
Ndiaye,8,4,5.4,0.6,2.0,41
Patterson,8,2,4.4,0.0,0.2,1
Pickford,8,1,4.9,9.8,5.0,66
Tarkowski,8,2,4.8,1.6,4.8,49
Y. Chermiti,8,4,4.9,0.0,0.0,0
Young,8,2,4.7,3.5,7.0,62
Lindstrøm,8,3,5.1,0.1,1.8,19
O'Brien,8,2,4.6,0.1,0.2,1
Armstrong,8,3,4.5,0.2,0.0,1
Metcalfe,8,3,4.5,0.0,0.0,0
Begovic,8,1,4.0,0.3,0.0,0
Dixon,8,2,4.0,0.1,0.0,0
Mangala,8,3,5.0,0.0,3.0,25
Bates,8,3,4.5,0.0,0.0,0
Nelson,9,3,5.0,0.1,1.4,27
Smith Rowe,9,3,5.5,17.5,1.4,61
Andersen,9,2,4.2,4.2,0.0,20
Adama,9,3,4.8,1.9,0.8,42
Andreas,9,3,5.0,1.1,2.0,41
Bassey,9,2,4.5,0.4,0.8,29
Benda,9,1,4.0,0.4,0.0,0
Cairney,9,3,4.8,0.0,0.8,10
Castagne,9,2,4.2,0.7,0.8,6
Diop,9,2,4.4,0.2,1.2,14
Harris,9,3,4.5,0.0,0.0,0
Iwobi,9,3,5.7,5.3,6.2,78
Leno,9,1,5.0,2.5,1.6,47
Lukić,9,3,4.8,0.0,1.2,17
Mbabu,9,2,4.0,0.2,0.0,0
Muniz,9,4,5.5,1.6,2.4,32
Raúl,9,4,5.5,5.8,3.0,63
Ream,9,2,4.5,0.0,0.0,0
Reed,9,3,4.7,0.0,0.0,6
